"LawaSiteID","CouncilSiteID","Date","Measurement","Value","Agency"
"ES-00001","NAT-DN09","07-Feb-1995","MCI",96.1538461538461,"niwa"
"NRWQN-00034","NAT-DN10","07-Feb-1995","MCI",71.8181818181818,"niwa"
"NRWQN-00016","NAT-HV06","07-Feb-1995","MCI",118.571428571429,"niwa"
"ES-00021","NAT-DN05","08-Feb-1995","MCI",89.2857142857143,"niwa"
"NRWQN-00015","NAT-HV04","08-Feb-1995","MCI",134.285714285714,"niwa"
"HRC-00062","NAT-TU01","08-Feb-1995","MCI",112.916666666667,"niwa"
"NRWQN-00029","NAT-DN01","09-Feb-1995","MCI",102.352941176471,"niwa"
"NRWQN-00028","NAT-DN02","09-Feb-1995","MCI",118.947368421053,"niwa"
"NRWQN-00026","NAT-DN03","09-Feb-1995","MCI",107.826086956522,"niwa"
"NRWQN-00013","NAT-HV01","09-Feb-1995","MCI",120,"niwa"
