"CouncilSiteID","SiteID","LawaSiteID","LFENZID","LType","GeomorphicLType","Region","Agency","Catchment","Lat","Long","accessDate"
"Lake Horowhenua Composite","lake horowhenua composite","hrc-00333","4345","Polymictic","Aeolian","manawatu-whanganui","hrc","lake horowhenua",-40.60968,175.25502,"14-Aug-2020"
"Lake Herbert (Composite)","lake herbert (composite)","hrc-00339","17363","Polymictic","Aeolian","manawatu-whanganui","hrc","southern whanganui lakes",-40.1361899999999,175.29685,"14-Aug-2020"
"Lake Heaton (Composite)","lake heaton (composite)","hrc-00332","13446","Polymictic","Aeolian","manawatu-whanganui","hrc","southern whanganui lakes",-40.1067399999999,175.28882,"14-Aug-2020"
"Lake Dudding (Composite)","lake dudding (composite)","hrc-00331","13447","Stratified","Aeolian","manawatu-whanganui","hrc","southern whanganui lakes",-40.10004,175.27992,"14-Aug-2020"
"Lake Alice (Composite)","lake alice (composite)","lawa-100250","13456","Polymictic","Aeolian","manawatu-whanganui","hrc","southern whanganui lakes",-40.1340999999999,175.33197,"14-Aug-2020"
"Lake Kohata (Composite)","lake kohata (composite)","lawa-102708","17214","Stratified","Aeolian","manawatu-whanganui","hrc","kaitoke lakes",-39.9720119999999,175.080627,"14-Aug-2020"
"Lake Koitiata (Composite)","lake koitiata (composite)","lawa-102709","16901","Polymictic","Aeolian","manawatu-whanganui","hrc","southern whanganui lakes",-40.11862,175.195929,"14-Aug-2020"
"Lake Waipu (Composite)","","","16939","","Aeolian","manawatu-whanganui","hrc","",NA,NA,"14-Aug-2020"
"Pukepuke Lagoon (Composite)","pukepuke lagoon (composite)","lawa-102711","5042","Polymictic","Aeolian","manawatu-whanganui","hrc","northern manawatu lakes",-40.341512,175.265738,"14-Aug-2020"
"100438","lake kai iwi at centre","nrc-00075","21918","Stratified","Aeolian","northland","nrc","unstated",-35.81565151,173.65375923,"14-Aug-2020"
"100442","lake taharoa at centre","nrc-00087","21917","Stratified","Aeolian","northland","nrc","unstated",-35.80791158,173.64619144,"14-Aug-2020"
"101032","lake ngatu at centre","nrc-00082","23691","Polymictic","Aeolian","northland","nrc","unstated",-35.03576241,173.19851555,"14-Aug-2020"
"106734","lake rotokawau (aupouri) at center","nrc-00083","18719","Polymictic","Aeolian","northland","nrc","unstated",-35.01822968,173.20569654,"14-Aug-2020"
"100448","lake waikare at centre","nrc-00090","21926","Stratified","Aeolian","northland","nrc","unstated",-35.79890988,173.62989412,"14-Aug-2020"
"107776","lake carrot at north end","nrc-00071","23690","Polymictic","Aeolian","northland","nrc","unstated",-35.02234449,173.18720356,"14-Aug-2020"
"101908","lake morehurehu at centre","nrc-00079","24628","Stratified","Aeolian","northland","nrc","unstated",-34.64199635,172.99570091,"14-Aug-2020"
"108242","lake ngakapua north at centre","nrc-00080","18718","Polymictic","Aeolian","northland","nrc","unstated",-35.01901944,173.19147086,"14-Aug-2020"
"101031","lake heather at centre","nrc-00072","23682","Polymictic","Aeolian","northland","nrc","unstated",-35.05307814,173.19140776,"14-Aug-2020"
"101913","lake ngakapua south at centre","nrc-00081","18717","Polymictic","Aeolian","northland","nrc","unstated",-35.0206406,173.19271328,"14-Aug-2020"
"101909","lake te kahika at centre","nrc-00088","24633","Polymictic","Aeolian","northland","nrc","unstated",-34.62362678,173.00098181,"14-Aug-2020"
"108232","lake waihopo at centre","nrc-00089","24511","Polymictic","Aeolian","northland","nrc","unstated",-34.75593886,173.04303894,"14-Aug-2020"
"108240","lake waipara at centre","nrc-00092","19575","Polymictic","Aeolian","northland","nrc","unstated",-34.58612338,172.85376535,"14-Aug-2020"
"101033","lake waiparera at south centre","nrc-00093","13467","Polymictic","Aeolian","northland","nrc","unstated",-34.9411733,173.1786196,"14-Aug-2020"
"101379","lake humuhumu at east centre","nrc-00073","50401","Stratified","Aeolian","northland","nrc","unstated",-36.32900053,174.12812281,"14-Aug-2020"
"101367","lake kahuparere at centre","nrc-00074","50371","Polymictic","Aeolian","northland","nrc","unstated",-36.36933366,174.1572856,"14-Aug-2020"
"101369","lake kanono at north centre","nrc-00076","50373","Stratified","Aeolian","northland","nrc","unstated",-36.36484822,174.14846935,"14-Aug-2020"
